Date,Price,Open,High,Low,Vol.,CB_n330_Low,CB_n330_High,CB_n330_Avg,BCO_Close,EMA_3
1/2/2012,2.616,2.465,2.733,2.34,3230000,1402,1550,1476,122.66,
1/3/2012,2.126,2.593,2.597,2.101,2470000,1480,1636,1558,122.88,
1/4/2012,2.285,2.122,2.32,1.902,2440000,1543,1705,1624,119.47,1570.5
1/5/2012,2.422,2.311,2.759,2.236,3180000,1568,1734,1651,101.43,1610.75
1/6/2012,2.824,2.408,2.946,2.168,3100000,1538,1700,1619,97.88,1614.875
1/7/2012,3.209,2.804,3.277,2.718,2720000,1437,1589,1513,103.84,1563.9375
1/8/2012,2.799,3.217,3.241,2.575,3310000,1320,1458,1389,114.05,1476.46875
1/9/2012,3.32,2.806,3.33,2.647,2810000,1366,1510,1438,111.58,1457.234375
1/10/2012,3.692,3.325,3.82,3.325,3550000,1446,1598,1522,107.56,1489.6171875
1/11/2012,3.561,3.692,3.933,3.47,2300000,1460,1614,1537,110.25,1513.30859375
1/12/2012,3.351,3.553,3.748,3.261,2500000,1413,1561,1487,109.89,1500.154296875
1/1/2013,3.339,3.348,3.645,3.05,2630000,1366,1514,1440,114.54,1470.0771484375
1/2/2013,3.486,3.328,3.554,3.125,2610000,1372,1524,1448,110.42,1459.03857421875
1/3/2013,4.024,3.491,4.121,3.408,2750000,1406,1554,1480,110.02,1469.519287109375
1/4/2013,4.343,3.969,4.429,3.861,3450000,1429,1579,1504,102.37,1486.7596435546875
1/5/2013,3.984,4.34,4.444,3.883,2590000,1397,1544,1471,100.39,1478.8798217773438
1/6/2013,3.565,3.963,4.04,3.526,2450000,1357,1500,1428,102.16,1453.4399108886719
1/7/2013,3.446,3.547,3.835,3.413,2160000,1352,1494,1423,107.7,1438.219955444336
1/8/2013,3.581,3.452,3.655,3.129,2620000,1337,1480,1409,114.01,1423.609977722168
1/9/2013,3.56,3.601,3.82,3.402,2049999,1350,1495,1423,108.37,1423.304988861084
1/10/2013,3.581,3.557,3.869,3.48,2750000,1369,1514,1442,108.84,1432.652494430542
1/11/2013,3.954,3.574,3.962,3.379,2080000,1384,1532,1458,109.69,1445.326247215271
1/12/2013,4.23,3.911,4.532,3.897,2990000,1357,1507,1432,110.8,1438.6631236076355
